OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
1,1980,1100023,Ariquemes,RO,REGIÃO NORTE,0.06874555,0.0373886,0.00445944,2.171e-05,0,0.03609082,0.00202802,0.14873413,10.89513931751,3.08667408022056
2,1980,1100049,Cacoal,RO,REGIÃO NORTE,0.04938851,0.06119637,0.00580097,1.08e-06,0,0.04253117,0.00031973,0.15923783,4.95369876647691,0.702453309185464
3,1980,1100106,Guajará-Mirim,RO,REGIÃO NORTE,0.06863083,0.01498454,0.0052692,1.8e-07,0,0.01932104,0.00035523,0.10856103,15.2116777464941,5.90346924951792
4,1980,1100122,Ji-Paraná,RO,REGIÃO NORTE,0.1212342,0.09373814,0.01106743,0.007208,0,0.10034208,0.01393959,0.34752943,8.00550429920462,1.56914025229025
5,1980,1100189,Pimenta Bueno,RO,REGIÃO NORTE,0.03612325,0.02152976,0.00243024,1.47e-06,0,0.0470118,0.00125087,0.10834739,7.15217032495066,1.39589267535617
6,1980,1100205,Porto Velho,RO,REGIÃO NORTE,0.56862176,0.10766394,0.05278723,0.00792419,0,0.03769774,0.00569548,0.78039034,17.9303831702767,4.33608080687809
7,1980,1100304,Vilhena,RO,REGIÃO NORTE,0.03585696,0.03491729,0.0056212,1.3e-07,0,0.03490291,0.00019394,0.11149243,13.3338882794699,2.6568204126002
8,1980,1200054,Assis Brasil,AC,REGIÃO NORTE,0.00109599,0.00119324,0,0,0,0.00128085,0,0.00357008,3.87546503836075,0.237516803791033
9,1980,1200104,Brasiléia,AC,REGIÃO NORTE,0.02272795,0.01085185,0.00019804,0,0,0.02300738,0.00012353,0.05690875,5.14071850969847,0.389003950253861
10,1980,1200203,Cruzeiro do Sul,AC,REGIÃO NORTE,0.05051131,0.04681349,0.00354699,1.4e-07,0,0.01017024,0.00481441,0.11585659,7.41625668832732,1.82426128572292
11,1980,1200302,Feijó,AC,REGIÃO NORTE,0.01942565,0.01765196,0.00010003,0,0,0.01294534,0,0.05012298,7.87984934495225,1.86000509757049
12,1980,1200336,Mâncio Lima,AC,REGIÃO NORTE,0.0038987,0.0068817,0,0,0,0.00305684,0,0.01383725,4.13800081035048,0.602308992393303
13,1980,1200344,Manoel Urbano,AC,REGIÃO NORTE,0.0023922,0.00619401,0.00017622,0,0,0.00248484,0,0.01124726,8.28703718308082,1.27373113142248
14,1980,1200385,Plácido de Castro,AC,REGIÃO NORTE,0.00490145,0.0087134,0.00073746,0,0,0.00650896,0.00036034,0.02122161,3.29518113802895,0.260256891880044
15,1980,1200401,Rio Branco,AC,REGIÃO NORTE,0.41450074,0.03950943,0.02128116,1.09e-06,0,0.06997313,0.00087914,0.54614467,8.04528084833927,1.38914526912181
16,1980,1200450,Senador Guiomard,AC,REGIÃO NORTE,0.00796986,0.00760749,0.00107772,6.3e-07,0,0.01804567,0.00051979,0.03522116,2.63764206572835,0.18898849911931
17,1980,1200500,Sena Madureira,AC,REGIÃO NORTE,0.02445728,0.02134628,0.00142649,0,0,0.01818229,2.786e-05,0.06544021,8.26299778038839,2.0763709597889
18,1980,1200609,Tarauacá,AC,REGIÃO NORTE,0.02612756,0.02475808,0.0009718,0,0,0.01535317,2.1e-05,0.0672316,8.44152674292281,1.86790324835415
19,1980,1200708,Xapuri,AC,REGIÃO NORTE,0.01156288,0.01337731,0.00069765,0,0,0.03325702,0.00062002,0.05951489,6.59722844117494,0.584774234066846
20,1980,1300102,Anori,AM,REGIÃO NORTE,0.01204627,0.01606301,0.00042813,0,0,0.00060882,0.00049092,0.02963715,7.09950058041311,0.708609540486109
21,1980,1300201,Atalaia do Norte,AM,REGIÃO NORTE,0.00255861,0.00782064,0.00020866,0,0,0.00017086,2.335e-05,0.01078212,15.4450837877625,6.23344373886518
22,1980,1300300,Autazes,AM,REGIÃO NORTE,0.01364344,0.01900149,9.728e-05,0,0,0.02307447,0.00012993,0.05594662,5.18607735240647,0.618334627253903
23,1980,1300409,Barcelos,AM,REGIÃO NORTE,0.00384287,0.01030029,0.00115649,7.5e-07,0,4.477e-05,0,0.01534517,20.5906191854729,9.95903385389507
24,1980,1300508,Barreirinha,AM,REGIÃO NORTE,0.01590134,0.01776943,8.115e-05,0,0,0.00834148,9.226e-05,0.04218565,4.18917052989831,0.466128197250192
25,1980,1300607,Benjamin Constant,AM,REGIÃO NORTE,0.02837235,0.0258267,0.00189234,0.00701394,0,0.00118252,0.00111515,0.065403,8.50639572536685,0.710227135195162
